query,title,link,image_url,saved_path,width,height,status,collected_at
냉장고,캐리어 클라윈드 138L 냉장고 원룸 미니 소형 가정용 사무실 오피스텔 방문 설치,https://smartstore.naver.com/main/products/10389588760,https://shopping-phinf.pstatic.net/main_8793409/87934093619.9.jpg,data\staging\refrigerator\냉장고\stg_0000.jpg,1000,1000,skipped_duplicate,2026-05-14T14:33:19
냉장고,캐리어 캐리어CRK 냉장고 KRNC302SEI1 메탈실버,https://search.shopping.naver.com/catalog/55325346067,https://shopping-phinf.pstatic.net/main_5532534/55325346067.20251117103110.jpg,data\processed\refrigerator\naver_0232.jpg,344,344,approved,2026-05-14T14:33:20
냉장고,삼성전자 비스포크 AI 냉장고 4도어 902L (RM70F90M1) 에센셜 화이트(RM70F90M1ZD),https://search.shopping.naver.com/catalog/56424580420,https://shopping-phinf.pstatic.net/main_5642458/56424580420.20250826142123.jpg,data\staging\refrigerator\냉장고\stg_0002.jpg,2500,2500,skipped_duplicate,2026-05-14T14:33:20
냉장고,LG전자 디오스 4도어 870L (T873MEE111) 냉장고 네이처 베이지,https://search.shopping.naver.com/catalog/55746031178,https://shopping-phinf.pstatic.net/main_5574603/55746031178.20250711150843.jpg,data\staging\refrigerator\냉장고\stg_0003.jpg,1000,1000,skipped_duplicate,2026-05-14T14:33:21
냉장고,LG전자 디오스 매직스페이스 냉장고 4도어 870L (T875) 네이처 베이지(T875MEE111),https://search.shopping.naver.com/catalog/53546968608,https://shopping-phinf.pstatic.net/main_5354696/53546968608.20260416163439.jpg,data\staging\refrigerator\냉장고\stg_0004.jpg,1000,1000,skipped_duplicate,2026-05-14T14:33:21
냉장고,삼성전자 비스포크 키친핏 Max 4도어 640L 에센셜 화이트(RM70F63R2Z),https://search.shopping.naver.com/catalog/55831245805,https://shopping-phinf.pstatic.net/main_5583124/55831245805.20250717155549.jpg,data\staging\refrigerator\냉장고\stg_0005.jpg,500,383,skipped_duplicate,2026-05-14T14:33:21
냉장고,캐리어 냉장고 클라윈드 원룸 소형 미니냉장고 사무실 무료설치 138L,https://smartstore.naver.com/main/products/10566056643,https://shopping-phinf.pstatic.net/main_8811056/88110562168.13.jpg,data\staging\refrigerator\냉장고\stg_0006.jpg,1000,1000,skipped_duplicate,2026-05-14T14:33:22
냉장고,LG전자 오브제컬렉션 모던엣지 냉장고 2도어 344L (33) 네이처 크림화이트+크림화이트(Q343MHHF33),https://search.shopping.naver.com/catalog/53527922501,https://shopping-phinf.pstatic.net/main_5352792/53527922501.20260416162228.jpg,data\staging\refrigerator\냉장고\stg_0007.jpg,350,350,skipped_duplicate,2026-05-14T14:33:22
냉장고,삼성전자 비스포크 4도어 905L RM70F90R1ZD 에센셜 화이트,https://search.shopping.naver.com/catalog/58033468145,https://shopping-phinf.pstatic.net/main_5803346/58033468145.20251205145257.jpg,data\staging\refrigerator\냉장고\stg_0008.jpg,1000,1000,skipped_duplicate,2026-05-14T14:33:22
냉장고,삼성전자 비스포크 냉장고 900리터 이하 삼성냉장고 양문형 852L 코타화이트 AI인버터,https://smartstore.naver.com/main/products/11433541587,https://shopping-phinf.pstatic.net/main_8897805/88978051952.5.jpg,data\processed\refrigerator\naver_0233.jpg,1000,1000,approved,2026-05-14T14:33:23
냉장고,LG전자 디오스 2도어 832L (S836MQQ012) 네이처 에센스 화이트,https://search.shopping.naver.com/catalog/56501182282,https://shopping-phinf.pstatic.net/main_5650118/56501182282.20250829171533.jpg,data\staging\refrigerator\냉장고\stg_0010.jpg,350,350,skipped_duplicate,2026-05-14T14:33:23
냉장고,LG전자 2도어 507L 화이트(B502W33),https://search.shopping.naver.com/catalog/53547335583,https://shopping-phinf.pstatic.net/main_5354733/53547335583.20260423153015.jpg,data\staging\refrigerator\냉장고\stg_0011.jpg,350,350,skipped_duplicate,2026-05-14T14:33:24
냉장고,"LG전자 2도어 189L 화이트 (B182W13) 왼쪽(좌), 화이트",https://search.shopping.naver.com/catalog/53509488026,https://shopping-phinf.pstatic.net/main_5350948/53509488026.20250312153418.jpg,data\staging\refrigerator\냉장고\stg_0012.jpg,1000,1000,skipped_duplicate,2026-05-14T14:33:24
냉장고,"LG전자 미니 냉장고 1도어 43L 왼쪽(좌), 슈퍼 화이트(B053W14)",https://search.shopping.naver.com/catalog/53530269009,https://shopping-phinf.pstatic.net/main_5353026/53530269009.20250313153009.jpg,data\staging\refrigerator\냉장고\stg_0013.jpg,500,500,deleted,2026-05-14T14:33:24
냉장고,삼성 냉장고 300리터 1등급 소형 2도어 스마트싱스 원룸 사무실 오피스텔 298L,https://smartstore.naver.com/main/products/8162039647,https://shopping-phinf.pstatic.net/main_8570653/85706539970.14.jpg,data\staging\refrigerator\냉장고\stg_0014.jpg,1000,1000,skipped_duplicate,2026-05-14T14:33:25
냉장고,삼성전자 삼성 2도어 852L (RS84DG5002M9) 젠틀실버,https://search.shopping.naver.com/catalog/55743927988,https://shopping-phinf.pstatic.net/main_5574392/55743927988.20250711110126.jpg,data\staging\refrigerator\냉장고\stg_0015.jpg,500,500,skipped_duplicate,2026-05-14T14:33:25
냉장고,캐리어 캐리어CRK KRDT168WEM1 화이트,https://search.shopping.naver.com/catalog/56020024229,https://shopping-phinf.pstatic.net/main_5602002/56020024229.20250730184917.jpg,data\staging\refrigerator\냉장고\stg_0016.jpg,500,500,skipped_duplicate,2026-05-14T14:33:26
냉장고,삼성전자 비스포크 2도어 852L (RS84DB5002CW) 코타 PCM 화이트,https://search.shopping.naver.com/catalog/53598623443,https://shopping-phinf.pstatic.net/main_5359862/53598623443.20250703103057.jpg,data\staging\refrigerator\냉장고\stg_0017.jpg,900,900,skipped_duplicate,2026-05-14T14:33:26
냉장고,삼성전자 비스포크 BESPOKE AI 냉장고 4도어 905L 에센셜 화이트(RM70F90R2ZD),https://search.shopping.naver.com/catalog/53916543178,https://shopping-phinf.pstatic.net/main_5391654/53916543178.20250402095350.jpg,data\staging\refrigerator\냉장고\stg_0018.jpg,892,684,skipped_duplicate,2026-05-14T14:33:26
냉장고,더함 R092D1-MS0TM 메탈실버,https://search.shopping.naver.com/catalog/53940811262,https://shopping-phinf.pstatic.net/main_5394081/53940811262.20260105161633.jpg,data\staging\refrigerator\냉장고\stg_0019.jpg,750,750,deleted,2026-05-14T14:33:27
냉장고,캐리어 캐리어CRK KRDT138WEM1 화이트,https://search.shopping.naver.com/catalog/55112116249,https://shopping-phinf.pstatic.net/main_5511211/55112116249.20250721092203.jpg,data\staging\refrigerator\냉장고\stg_0020.jpg,500,500,skipped_duplicate,2026-05-14T14:33:27
냉장고,우성 업소용 냉장고 냉동고 45박스 영업용 카페용 식당용 직냉식 올냉장 메탈,https://smartstore.naver.com/main/products/4715237586,https://shopping-phinf.pstatic.net/main_8225975/82259758608.13.jpg,data\staging\refrigerator\냉장고\stg_0021.jpg,1000,1000,deleted,2026-05-14T14:33:28
냉장고,캐리어 미니 원도어 냉장고 47L 소형 원룸 사무실 오피스텔 자취 고시원 기숙사,https://smartstore.naver.com/main/products/12774863226,https://shopping-phinf.pstatic.net/main_9031937/90319374175.1.jpg,data\staging\refrigerator\냉장고\stg_0022.jpg,1000,1000,deleted,2026-05-14T14:33:28
냉장고,LG전자 오브제컬렉션 일반냉장고 2도어 612L (52) 네이처 프라임 실버(D604MPS52),https://search.shopping.naver.com/catalog/55078451347,https://shopping-phinf.pstatic.net/main_5507845/55078451347.20250602150142.jpg,data\staging\refrigerator\냉장고\stg_0023.jpg,600,600,skipped_duplicate,2026-05-14T14:33:28
냉장고,LG전자 디오스 AI 오브제컬렉션 냉장고 (매직스페이스) 2도어 832L 1등급 (111) 네이처 베이지(S834MEE111),https://search.shopping.naver.com/catalog/56421536083,https://shopping-phinf.pstatic.net/main_5642153/56421536083.20250825103945.jpg,data\staging\refrigerator\냉장고\stg_0024.jpg,1000,1000,skipped_duplicate,2026-05-14T14:33:29
냉장고,캐리어 캐리어CRK KRNT255SEM1 메탈실버,https://search.shopping.naver.com/catalog/55341604996,https://shopping-phinf.pstatic.net/main_5534160/55341604996.20250930140349.jpg,data\staging\refrigerator\냉장고\stg_0025.jpg,640,640,skipped_duplicate,2026-05-14T14:33:29
냉장고,캐리어 캐리어CRK KRDT198SEM1 메탈실버,https://search.shopping.naver.com/catalog/54258055865,https://shopping-phinf.pstatic.net/main_5425805/54258055865.20250930114509.jpg,data\staging\refrigerator\냉장고\stg_0026.jpg,900,900,skipped_duplicate,2026-05-14T14:33:29
냉장고,캐리어 캐리어CRK KRNT348WEM1 화이트,https://search.shopping.naver.com/catalog/55136680943,https://shopping-phinf.pstatic.net/main_5513668/55136680943.20250930131221.jpg,data\staging\refrigerator\냉장고\stg_0027.jpg,900,900,skipped_duplicate,2026-05-14T14:33:30
냉장고,캐리어 캐리어CRK KRDO90WLH1 화이트,https://search.shopping.naver.com/catalog/55269496610,https://shopping-phinf.pstatic.net/main_5526949/55269496610.20250612170508.jpg,data\staging\refrigerator\냉장고\stg_0028.jpg,1000,1000,deleted,2026-05-14T14:33:30
냉장고,우성 업소용 냉동고 45박스 냉장고 올냉동 메탈 디지털 1100L 영업용,https://smartstore.naver.com/main/products/6506339254,https://shopping-phinf.pstatic.net/main_8405083/84050839587.7.jpg,data\staging\refrigerator\냉장고\stg_0029.jpg,1000,1000,deleted,2026-05-14T14:33:31
스탠드형 냉장고,LG전자 디오스 김치톡톡 김치냉장고 3도어 327L (11) 네이처 베이지(Z330MEEF11),https://search.shopping.naver.com/catalog/55382224053,https://shopping-phinf.pstatic.net/main_5538222/55382224053.20260416163817.jpg,data\processed\refrigerator\naver_0263.jpg,600,600,approved,2026-05-14T14:33:32
스탠드형 냉장고,LG전자 디오스 1도어 324L (Z323MEF) 냉장고 네이처 베이지,https://search.shopping.naver.com/catalog/53547335395,https://shopping-phinf.pstatic.net/main_5354733/53547335395.20251015223616.jpg,data\processed\refrigerator\naver_0264.jpg,350,350,approved,2026-05-14T14:33:32
